ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Date_c,Year,Month,Day,Duration,month,year
AL071951,FOX,1951-09-03,1800,,TS,13.2,-26.0,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-03,1951,9,3,5,9,1951
AL071951,FOX,1951-09-04,0,,TS,13.4,-27.3,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL071951,FOX,1951-09-04,600,,TS,13.6,-29.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL071951,FOX,1951-09-04,1200,,TS,14.2,-31.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL071951,FOX,1951-09-04,1800,,TS,14.9,-32.8,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-04,1951,9,4,5,9,1951
AL071951,FOX,1951-09-05,0,,HU,15.6,-34.5,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,5,9,1951
AL071951,FOX,1951-09-05,600,,HU,16.3,-36.2,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,5,9,1951
AL071951,FOX,1951-09-05,1200,,HU,16.8,-37.8,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,5,9,1951
AL071951,FOX,1951-09-05,1800,,HU,17.3,-39.3,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-05,1951,9,5,5,9,1951
AL071951,FOX,1951-09-06,0,,HU,17.8,-40.7,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,5,9,1951
AL071951,FOX,1951-09-06,600,,HU,18.3,-42.1,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,5,9,1951
AL071951,FOX,1951-09-06,1200,,HU,18.9,-43.7,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,5,9,1951
AL071951,FOX,1951-09-06,1800,,HU,19.6,-45.6,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-06,1951,9,6,5,9,1951
AL071951,FOX,1951-09-07,0,,HU,20.3,-47.3,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,5,9,1951
AL071951,FOX,1951-09-07,600,,HU,21.1,-49.0,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,5,9,1951
AL071951,FOX,1951-09-07,1200,,HU,22.0,-50.7,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,5,9,1951
AL071951,FOX,1951-09-07,1800,,HU,23.1,-52.4,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-07,1951,9,7,5,9,1951
AL071951,FOX,1951-09-08,0,,HU,24.3,-53.8,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-09-08,1951,9,8,5,9,1951
AL101951,ITEM,1951-10-13,600,,TS,17.8,-81.8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1951-10-13,1951,10,13,3,10,1951
